"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00093516101,00093,5161,01,2009,4,false,HYDROCODON,3123.000,67.000000000,3382.37,3380.56,1.81
FFSU,AK,00121065516,00121,0655,16,2009,4,false,HYDROCODON,44345.000,211.000000000,5808.72,5741.78,66.94
FFSU,AK,00406035701,00406,0357,01,2009,4,false,HYDROCODON,18439.000,582.000000000,9353.75,9349.55,4.20
FFSU,AK,00406035705,00406,0357,05,2009,4,false,HYDROCODON,78272.000,2861.000000000,30226.04,30203.90,22.14
FFSU,AK,00406035762,00406,0357,62,2009,4,false,HYDROCODON,160.000,12.000000000,160.68,160.68,0.00
FFSU,AK,00406035801,00406,0358,01,2009,4,false,HYDROCODON,1244.000,32.000000000,602.78,599.24,3.54
FFSU,AK,00406035805,00406,0358,05,2009,4,false,HYDROCODON,3644.000,87.000000000,1559.82,1559.82,0.00
FFSU,AK,00406035901,00406,0359,01,2009,4,false,HYDROCODON,442.000,13.000000000,231.43,231.43,0.00
FFSU,AK,00406036001,00406,0360,01,2009,4,false,HYDROCODON,3125.000,92.000000000,997.55,997.55,0.00
FFSU,AK,00406036005,00406,0360,05,2009,4,false,HYDROCODON,5517.000,195.000000000,1863.81,1861.51,2.30
FFSU,AK,00406036101,00406,0361,01,2009,4,false,HYDROCODON,834.000,13.000000000,222.59,222.59,0.00
FFSU,AK,00406036105,00406,0361,05,2009,4,false,HYDROCODON,855.000,14.000000000,231.14,231.14,0.00
FFSU,AK,00406036201,00406,0362,01,2009,4,false,HYDROCODON,2121.000,39.000000000,1182.86,1182.86,0.00
FFSU,AK,00406036301,00406,0363,01,2009,4,false,HYDROCODON,4170.000,56.000000000,2380.06,2380.06,0.00
FFSU,AK,00406036305,00406,0363,05,2009,4,false,HYDROCODON,1366.000,20.000000000,714.46,714.46,0.00
