"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00054023525,00054,0235,25,2009,4,false,"MORPHINE S",16485.500,147.000000000,3476.39,3476.39,0.00
FFSU,AK,00054023625,00054,0236,25,2009,4,false,"MORPHINE S",14525.000,101.000000000,4894.37,4894.37,0.00
FFSU,AK,00406831501,00406,8315,01,2009,4,false,"MORPHINE S",5023.000,74.000000000,4847.96,4847.96,0.00
FFSU,AK,00406833001,00406,8330,01,2009,4,false,"MORPHINE S",5982.000,113.000000000,10248.38,10248.38,0.00
FFSU,AK,00406838001,00406,8380,01,2009,4,false,"MORPHINE S",3625.000,51.000000000,11077.48,11077.48,0.00
FFSU,AK,00406839001,00406,8390,01,2009,4,false,"MORPHINE S",1426.000,19.000000000,6760.10,6760.10,0.00
FFSU,AK,00409125830,00409,1258,30,2009,4,false,"MORPHINE S",45.000,25.000000000,79870.06,79870.06,0.00
FFSU,AK,00409126130,00409,1261,30,2009,4,false,"MORPHINE S",101.200,53.000000000,70663.32,70663.32,0.00
FFSU,AK,00409176230,00409,1762,30,2009,4,false,"MORPHINE S",110.240,34.000000000,84792.83,84792.83,0.00
FFSU,AK,10019017639,10019,0176,39,2009,4,false,"MORPHINE S",110.500,73.000000000,131240.18,131240.18,0.00
FFSU,AK,60951065270,60951,0652,70,2009,4,false,"MORPHINE S",2577.000,42.000000000,1988.61,1988.61,0.00
FFSU,AK,60951065370,60951,0653,70,2009,4,false,"MORPHINE S",6366.000,91.000000000,8256.53,8256.53,0.00
FFSU,AK,60951065570,60951,0655,70,2009,4,false,"MORPHINE S",4712.000,57.000000000,10950.25,10950.25,0.00
FFSU,AK,60951065870,60951,0658,70,2009,4,false,"MORPHINE S",2422.000,25.000000000,8693.48,8693.48,0.00
FFSU,AK,00054023525,00054,0235,25,2009,3,false,"MORPHINE S",15911.000,163.000000000,3501.02,3461.18,39.84
FFSU,AK,00054023625,00054,0236,25,2009,3,false,"MORPHINE S",16342.000,107.000000000,5505.13,5432.31,72.82
FFSU,AK,00054023763,00054,0237,63,2009,3,false,"MORPHINE S",23500.000,11.000000000,1789.61,1789.61,0.00
FFSU,AK,00406831501,00406,8315,01,2009,3,false,"MORPHINE S",5709.000,80.000000000,5351.96,5351.96,0.00
FFSU,AK,00406833001,00406,8330,01,2009,3,false,"MORPHINE S",6768.000,117.000000000,11231.15,11231.15,0.00
FFSU,AK,00406838001,00406,8380,01,2009,3,false,"MORPHINE S",3704.000,46.000000000,11433.64,11433.64,0.00
FFSU,AK,00406839001,00406,8390,01,2009,3,false,"MORPHINE S",1643.000,27.000000000,7782.92,7782.92,0.00
FFSU,AK,00409125830,00409,1258,30,2009,3,false,"MORPHINE S",89.000,55.000000000,115548.14,115548.14,0.00
FFSU,AK,00409126130,00409,1261,30,2009,3,false,"MORPHINE S",142.110,67.000000000,84504.92,84504.92,0.00
FFSU,AK,00409176230,00409,1762,30,2009,3,false,"MORPHINE S",121.160,29.000000000,83903.82,83903.82,0.00
FFSU,AK,10019017639,10019,0176,39,2009,3,false,"MORPHINE S",124.500,80.000000000,184373.55,184373.55,0.00
FFSU,AK,60951065270,60951,0652,70,2009,3,false,"MORPHINE S",2200.000,38.000000000,1759.55,1759.55,0.00
FFSU,AK,60951065370,60951,0653,70,2009,3,false,"MORPHINE S",6717.000,102.000000000,8852.29,8852.29,0.00
FFSU,AK,60951065570,60951,0655,70,2009,3,false,"MORPHINE S",5020.000,64.000000000,12000.52,12000.52,0.00
FFSU,AK,60951065870,60951,0658,70,2009,3,false,"MORPHINE S",3510.000,29.000000000,13247.27,13247.27,0.00
FFSU,AK,00054023525,00054,0235,25,2009,2,false,"MORPHINE S",12462.000,136.000000000,2886.37,2868.00,18.37
FFSU,AK,00054023625,00054,0236,25,2009,2,false,"MORPHINE S",14787.000,99.000000000,4921.26,4851.93,69.33
FFSU,AK,00054458225,00054,4582,25,2009,2,false,"MORPHINE S",631.000,13.000000000,203.81,203.81,0.00
FFSU,AK,00406831501,00406,8315,01,2009,2,false,"MORPHINE S",4920.000,74.000000000,4715.34,4715.34,0.00
FFSU,AK,00406833001,00406,8330,01,2009,2,false,"MORPHINE S",5025.000,92.000000000,8644.07,8644.07,0.00
FFSU,AK,00406838001,00406,8380,01,2009,2,false,"MORPHINE S",4778.000,61.000000000,14738.75,14738.75,0.00
FFSU,AK,00406839001,00406,8390,01,2009,2,false,"MORPHINE S",2018.000,24.000000000,9556.43,9556.43,0.00
FFSU,AK,00409125830,00409,1258,30,2009,2,false,"MORPHINE S",84.000,53.000000000,94062.44,94062.44,0.00
FFSU,AK,00409126130,00409,1261,30,2009,2,false,"MORPHINE S",116.930,43.000000000,84723.87,84723.87,0.00
FFSU,AK,00409176230,00409,1762,30,2009,2,false,"MORPHINE S",115.320,32.000000000,63147.74,63147.74,0.00
FFSU,AK,10019017639,10019,0176,39,2009,2,false,"MORPHINE S",124.500,78.000000000,161054.32,161054.32,0.00
FFSU,AK,60951065270,60951,0652,70,2009,2,false,"MORPHINE S",2052.000,30.000000000,1564.18,1564.18,0.00
FFSU,AK,60951065370,60951,0653,70,2009,2,false,"MORPHINE S",5527.000,73.000000000,7123.36,7102.96,20.40
FFSU,AK,60951065570,60951,0655,70,2009,2,false,"MORPHINE S",1802.000,24.000000000,4478.66,4478.66,0.00
FFSU,AK,60951065870,60951,0658,70,2009,2,false,"MORPHINE S",2430.000,23.000000000,9147.25,9147.25,0.00
FFSU,AK,68462020201,68462,0202,01,2009,2,false,"MORPHINE S",998.000,13.000000000,248.14,248.14,0.00
FFSU,AK,00054023525,00054,0235,25,2009,1,false,"MORPHINE S",11792.500,121.000000000,2635.06,2602.45,32.61
