"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00378911998,00378,9119,98,2009,4,false,"FENTANYL  ",119.000,13.000000000,1650.73,1650.73,0.00
FFSU,AK,00378912198,00378,9121,98,2009,4,false,"FENTANYL  ",289.000,30.000000000,4160.32,4156.10,4.22
FFSU,AK,00378912298,00378,9122,98,2009,4,false,"FENTANYL  ",352.000,34.000000000,8630.79,8564.80,65.99
FFSU,AK,00378912398,00378,9123,98,2009,4,false,"FENTANYL  ",330.000,32.000000000,12558.13,12558.13,0.00
FFSU,AK,00378912498,00378,9124,98,2009,4,false,"FENTANYL  ",765.000,59.000000000,38625.06,37656.05,969.01
FFSU,AK,00409909332,00409,9093,32,2009,4,false,"FENTANYL C",52.000,25.000000000,56315.05,56315.05,0.00
FFSU,AK,00409909422,00409,9094,22,2009,4,false,"FENTANYL C",8235.500,433.000000000,1358753.11,1358753.11,0.00
FFSU,AK,00409909425,00409,9094,25,2009,4,false,"FENTANYL C",173.000,37.000000000,180268.02,180268.02,0.00
FFSU,AK,00591319872,00591,3198,72,2009,4,false,"FENTANYL  ",139.000,16.000000000,1950.40,1950.40,0.00
FFSU,AK,00591321472,00591,3214,72,2009,4,false,"FENTANYL  ",293.000,29.000000000,13511.46,13511.46,0.00
FFSU,AK,00781711155,00781,7111,55,2009,4,false,"FENTANYL  ",130.000,11.000000000,1854.05,1854.05,0.00
FFSU,AK,00378911998,00378,9119,98,2009,3,false,"FENTANYL  ",128.000,13.000000000,1773.38,1773.38,0.00
FFSU,AK,00378912198,00378,9121,98,2009,3,false,"FENTANYL  ",394.000,43.000000000,5663.56,5663.56,0.00
FFSU,AK,00378912298,00378,9122,98,2009,3,false,"FENTANYL  ",424.000,45.000000000,10472.00,10250.11,221.89
FFSU,AK,00378912398,00378,9123,98,2009,3,false,"FENTANYL  ",313.000,32.000000000,12051.75,12051.75,0.00
FFSU,AK,00378912498,00378,9124,98,2009,3,false,"FENTANYL  ",875.000,71.000000000,43801.38,43056.94,744.44
FFSU,AK,00409909332,00409,9093,32,2009,3,false,"FENTANYL C",56.000,23.000000000,61349.34,61349.34,0.00
FFSU,AK,00409909422,00409,9094,22,2009,3,false,"FENTANYL C",2214.000,352.000000000,1042838.16,1042838.16,0.00
FFSU,AK,00409909425,00409,9094,25,2009,3,false,"FENTANYL C",237.000,51.000000000,267126.22,267126.22,0.00
FFSU,AK,00591321272,00591,3212,72,2009,3,false,"FENTANYL  ",211.000,19.000000000,5126.02,4929.15,196.87
FFSU,AK,00591321372,00591,3213,72,2009,3,false,"FENTANYL  ",92.000,12.000000000,3562.57,3562.57,0.00
FFSU,AK,00591321472,00591,3214,72,2009,3,false,"FENTANYL  ",276.000,27.000000000,12547.20,12547.20,0.00
FFSU,AK,00781711155,00781,7111,55,2009,3,false,"FENTANYL  ",135.000,11.000000000,1911.41,1911.41,0.00
FFSU,AK,00781711255,00781,7112,55,2009,3,false,"FENTANYL  ",91.000,11.000000000,2343.33,2343.33,0.00
FFSU,AK,00781711455,00781,7114,55,2009,3,false,"FENTANYL  ",221.000,19.000000000,11372.25,11372.25,0.00
FFSU,AK,00378912198,00378,9121,98,2009,2,false,"FENTANYL  ",408.000,48.000000000,5894.88,5810.81,84.07
FFSU,AK,00378912298,00378,9122,98,2009,2,false,"FENTANYL  ",349.000,35.000000000,8812.91,8589.59,223.32
FFSU,AK,00378912398,00378,9123,98,2009,2,false,"FENTANYL  ",331.000,33.000000000,12525.07,12525.07,0.00
FFSU,AK,00378912498,00378,9124,98,2009,2,false,"FENTANYL  ",952.000,72.000000000,47915.84,47185.60,730.24
FFSU,AK,00409909332,00409,9093,32,2009,2,false,"FENTANYL C",62.000,38.000000000,84643.34,84643.34,0.00
FFSU,AK,00409909422,00409,9094,22,2009,2,false,"FENTANYL C",6465.000,314.000000000,1128900.00,1128900.00,0.00
FFSU,AK,00409909425,00409,9094,25,2009,2,false,"FENTANYL C",212.000,44.000000000,199663.56,199663.56,0.00
FFSU,AK,00591321272,00591,3212,72,2009,2,false,"FENTANYL  ",158.000,15.000000000,3658.48,3658.48,0.00
FFSU,AK,00591321472,00591,3214,72,2009,2,false,"FENTANYL  ",148.000,17.000000000,7626.62,7626.62,0.00
FFSU,AK,00781711255,00781,7112,55,2009,2,false,"FENTANYL  ",100.000,12.000000000,2579.36,2579.36,0.00
FFSU,AK,00781711455,00781,7114,55,2009,2,false,"FENTANYL  ",136.000,12.000000000,6984.98,6984.98,0.00
FFSU,AK,00378911998,00378,9119,98,2009,1,false,"FENTANYL  ",139.000,15.000000000,1961.44,1961.44,0.00
FFSU,AK,00378912198,00378,9121,98,2009,1,false,"FENTANYL  ",397.000,44.000000000,5692.72,5692.72,0.00
FFSU,AK,00378912298,00378,9122,98,2009,1,false,"FENTANYL  ",431.000,43.000000000,10979.95,10635.17,344.78
FFSU,AK,00378912398,00378,9123,98,2009,1,false,"FENTANYL  ",303.000,29.000000000,11717.27,11588.07,129.20
FFSU,AK,00378912498,00378,9124,98,2009,1,false,"FENTANYL  ",846.000,65.000000000,42622.73,42140.57,482.16
FFSU,AK,00409909332,00409,9093,32,2009,1,false,"FENTANYL C",89.000,33.000000000,54947.74,54947.74,0.00
FFSU,AK,00409909422,00409,9094,22,2009,1,false,"FENTANYL C",6508.000,287.000000000,968536.71,968536.71,0.00
FFSU,AK,00409909425,00409,9094,25,2009,1,false,"FENTANYL C",196.000,40.000000000,204906.93,204906.93,0.00
FFSU,AK,00591319872,00591,3198,72,2009,1,false,"FENTANYL  ",139.000,14.000000000,1998.22,1998.22,0.00
FFSU,AK,00591321372,00591,3213,72,2009,1,false,"FENTANYL  ",115.000,11.000000000,4471.95,4471.95,0.00
FFSU,AK,00591321472,00591,3214,72,2009,1,false,"FENTANYL  ",245.000,16.000000000,11806.56,10675.53,1131.03
FFSU,AK,00781711155,00781,7111,55,2009,1,false,"FENTANYL  ",160.000,13.000000000,2274.12,2274.12,0.00
FFSU,AK,00781711255,00781,7112,55,2009,1,false,"FENTANYL  ",113.000,11.000000000,2897.59,2897.59,0.00
FFSU,AK,00781711455,00781,7114,55,2009,1,false,"FENTANYL  ",115.000,12.000000000,5928.25,5928.25,0.00
FFSU,AL,00093690145,00093,6901,45,2009,4,false,"FENTANYL T",110.000,11.000000000,2436.28,2403.28,33.00
FFSU,AL,00378911998,00378,9119,98,2009,4,false,"FENTANYL T",535.000,56.000000000,6739.91,6376.53,363.38
FFSU,AL,00378912198,00378,9121,98,2009,4,false,"FENTANYL T",1549.000,166.000000000,19207.26,18430.68,776.58
FFSU,AL,00378912298,00378,9122,98,2009,4,false,"FENTANYL T",2262.000,233.000000000,50134.09,48311.22,1822.87
FFSU,AL,00378912398,00378,9123,98,2009,4,false,"FENTANYL T",1316.000,129.000000000,43816.44,41500.01,2316.43
FFSU,AL,00378912498,00378,9124,98,2009,4,false,"FENTANYL T",1570.000,149.000000000,69470.11,68810.09,660.02
FFSU,AL,00409909332,00409,9093,32,2009,4,false,"FENTANYL C",126.000,52.000000000,21.30,20.95,0.35
FFSU,AL,00409909422,00409,9094,22,2009,4,false,"FENTANYL C",68.000,28.000000000,11.29,11.29,0.00
FFSU,AL,00409909425,00409,9094,25,2009,4,false,"FENTANYL C",50.000,11.000000000,8.30,8.30,0.00
FFSU,AL,00591319872,00591,3198,72,2009,4,false,"FENTANYL P",672.000,75.000000000,8339.87,7948.55,391.32
FFSU,AL,00591321272,00591,3212,72,2009,4,false,"FENTANYL P",1019.000,108.000000000,22411.43,20764.20,1647.23
FFSU,AL,00591321372,00591,3213,72,2009,4,false,"FENTANYL P",641.000,66.000000000,20431.08,19786.27,644.81
FFSU,AL,00591321472,00591,3214,72,2009,4,false,"FENTANYL P",1005.000,104.000000000,42514.37,40860.71,1653.66
FFSU,AL,00781711155,00781,7111,55,2009,4,false,"FENTANYL R",461.000,48.000000000,5678.17,5322.71,355.46
FFSU,AL,00781711255,00781,7112,55,2009,4,false,"FENTANYL R",1031.000,109.000000000,22603.20,21905.92,697.28
FFSU,AL,00781711355,00781,7113,55,2009,4,false,"FENTANYL R",1261.000,133.000000000,41936.65,40153.71,1782.94
FFSU,AL,00781711455,00781,7114,55,2009,4,false,"FENTANYL R",1272.000,126.000000000,56322.65,53943.55,2379.10
FFSU,AL,10019003867,10019,0038,67,2009,4,false,"FENTANYL C",64.000,31.000000000,11.30,10.62,0.68
FFSU,AL,67767012018,67767,0120,18,2009,4,false,"FENTANYL T",145.000,16.000000000,1800.43,1696.02,104.41
FFSU,AL,67767012118,67767,0121,18,2009,4,false,"FENTANYL T",240.000,23.000000000,5310.12,5271.12,39.00
FFSU,AL,67767012218,67767,0122,18,2009,4,false,"FENTANYL T",130.000,13.000000000,4355.00,4325.00,30.00
FFSU,AL,67767012318,67767,0123,18,2009,4,false,"FENTANYL T",187.000,18.000000000,8273.30,8147.59,125.71
FFSU,AL,00378911998,00378,9119,98,2009,3,false,"FENTANYL T",254.000,26.000000000,3167.50,3022.39,145.11
FFSU,AL,00378912198,00378,9121,98,2009,3,false,"FENTANYL T",1728.000,183.000000000,21292.85,20595.33,697.52
FFSU,AL,00378912298,00378,9122,98,2009,3,false,"FENTANYL T",2234.000,235.000000000,49699.70,48169.89,1529.81
FFSU,AL,00378912398,00378,9123,98,2009,3,false,"FENTANYL T",1322.000,131.000000000,43891.01,42143.39,1747.62
FFSU,AL,00378912498,00378,9124,98,2009,3,false,"FENTANYL T",1786.000,171.000000000,78780.07,78062.20,717.87
FFSU,AL,00409909332,00409,9093,32,2009,3,false,"FENTANYL C",68.000,29.000000000,13.17,11.19,1.98
FFSU,AL,00409909422,00409,9094,22,2009,3,false,"FENTANYL C",114.000,46.000000000,19.68,18.69,0.99
FFSU,AL,00591319872,00591,3198,72,2009,3,false,"FENTANYL P",642.000,70.000000000,7906.51,7468.67,437.84
FFSU,AL,00591321272,00591,3212,72,2009,3,false,"FENTANYL P",795.000,84.000000000,17261.87,16614.30,647.57
FFSU,AL,00591321372,00591,3213,72,2009,3,false,"FENTANYL P",358.000,38.000000000,11523.03,10909.51,613.52
FFSU,AL,00591321472,00591,3214,72,2009,3,false,"FENTANYL P",670.000,69.000000000,28717.26,27787.12,930.14
FFSU,AL,00781710955,00781,7109,55,2009,3,false,"FENTANYL R",120.000,12.000000000,1507.17,1504.17,3.00
FFSU,AL,00781711155,00781,7111,55,2009,3,false,"FENTANYL R",400.000,43.000000000,4932.28,4628.06,304.22
FFSU,AL,00781711255,00781,7112,55,2009,3,false,"FENTANYL R",927.000,101.000000000,20669.33,20203.05,466.28
FFSU,AL,00781711355,00781,7113,55,2009,3,false,"FENTANYL R",1045.000,108.000000000,35026.48,33881.53,1144.95
FFSU,AL,00781711455,00781,7114,55,2009,3,false,"FENTANYL R",1081.000,110.000000000,47000.42,44922.12,2078.30
FFSU,AL,10019003867,10019,0038,67,2009,3,false,"FENTANYL C",96.000,45.000000000,16.49,15.83,0.66
FFSU,AL,67767012018,67767,0120,18,2009,3,false,"FENTANYL T",107.000,13.000000000,1304.54,1205.43,99.11
FFSU,AL,67767012118,67767,0121,18,2009,3,false,"FENTANYL T",96.000,11.000000000,2129.53,2123.53,6.00
FFSU,AL,00378911998,00378,9119,98,2009,2,false,"FENTANYL T",326.000,34.000000000,4106.47,3830.01,276.46
FFSU,AL,00378912198,00378,9121,98,2009,2,false,"FENTANYL T",1818.000,192.000000000,22359.98,21552.55,807.43
FFSU,AL,00378912298,00378,9122,98,2009,2,false,"FENTANYL T",2854.000,293.000000000,62459.68,61125.82,1333.86
FFSU,AL,00378912398,00378,9123,98,2009,2,false,"FENTANYL T",1761.000,176.000000000,58510.38,56254.68,2255.70
FFSU,AL,00378912498,00378,9124,98,2009,2,false,"FENTANYL T",1992.000,198.000000000,88114.45,86916.97,1197.48
FFSU,AL,00409127632,00409,1276,32,2009,2,false,"FENTANYL C",36.000,15.000000000,5.90,5.90,0.00
FFSU,AL,00409909332,00409,9093,32,2009,2,false,"FENTANYL C",150.000,65.000000000,29.32,29.32,0.00
FFSU,AL,00409909422,00409,9094,22,2009,2,false,"FENTANYL C",60.000,25.000000000,13.75,9.79,3.96
FFSU,AL,00409909425,00409,9094,25,2009,2,false,"FENTANYL C",40.000,12.000000000,35.55,6.55,29.00
FFSU,AL,00591319872,00591,3198,72,2009,2,false,"FENTANYL P",561.000,59.000000000,7077.86,6344.60,733.26
FFSU,AL,00591321272,00591,3212,72,2009,2,false,"FENTANYL P",683.000,72.000000000,14561.24,14152.60,408.64
FFSU,AL,00591321372,00591,3213,72,2009,2,false,"FENTANYL P",304.000,34.000000000,9663.36,9507.96,155.40
FFSU,AL,00591321472,00591,3214,72,2009,2,false,"FENTANYL P",620.000,63.000000000,26229.66,26030.46,199.20
FFSU,AL,00781711155,00781,7111,55,2009,2,false,"FENTANYL R",416.000,45.000000000,5228.11,4999.11,229.00
FFSU,AL,00781711255,00781,7112,55,2009,2,false,"FENTANYL R",1007.000,107.000000000,22196.10,21827.10,369.00
FFSU,AL,00781711355,00781,7113,55,2009,2,false,"FENTANYL R",1201.000,124.000000000,40424.81,38695.95,1728.86
FFSU,AL,00781711455,00781,7114,55,2009,2,false,"FENTANYL R",1237.000,117.000000000,55183.06,54434.21,748.85
FFSU,AL,67767012018,67767,0120,18,2009,2,false,"FENTANYL T",150.000,15.000000000,1849.92,1837.92,12.00
FFSU,AL,00378911998,00378,9119,98,2009,1,false,"FENTANYL T",345.000,36.000000000,4468.03,4274.49,193.54
FFSU,AL,00378912198,00378,9121,98,2009,1,false,"FENTANYL T",2172.000,227.000000000,26589.19,25505.89,1083.30
FFSU,AL,00378912298,00378,9122,98,2009,1,false,"FENTANYL T",3001.000,319.000000000,66312.32,64713.54,1598.78
FFSU,AL,00378912398,00378,9123,98,2009,1,false,"FENTANYL T",1646.000,167.000000000,55512.60,52774.62,2737.98
FFSU,AL,00378912498,00378,9124,98,2009,1,false,"FENTANYL T",2013.000,201.000000000,89549.50,87195.74,2353.76
FFSU,AL,00409127632,00409,1276,32,2009,1,false,"FENTANYL C",30.000,13.000000000,4.80,4.80,0.00
FFSU,AL,00409909332,00409,9093,32,2009,1,false,"FENTANYL C",122.000,53.000000000,19.40,19.40,0.00
FFSU,AL,00409909335,00409,9093,35,2009,1,false,"FENTANYL C",58.000,13.000000000,9.16,9.16,0.00
FFSU,AL,00409909422,00409,9094,22,2009,1,false,"FENTANYL C",52.000,22.000000000,8.32,8.32,0.00
FFSU,AL,00409909425,00409,9094,25,2009,1,false,"FENTANYL C",36.000,14.000000000,22.28,5.60,16.68
FFSU,AL,00591319872,00591,3198,72,2009,1,false,"FENTANYL P",846.000,88.000000000,10240.68,9627.46,613.22
FFSU,AL,00591321272,00591,3212,72,2009,1,false,"FENTANYL P",506.000,54.000000000,10634.78,10237.54,397.24
FFSU,AL,00591321372,00591,3213,72,2009,1,false,"FENTANYL P",431.000,44.000000000,14089.95,13591.75,498.20
