,State,ST,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
21,Massachusetts,MA,6018664,5998652,5993474,6010884,6031352,6062335,6085393,6115476,6144407,6175169,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6547629,6566440,6614218,6664269,6715158,6764864,6797484,6827280,6863560,6885720,6997713,6991951,6982740,7001399
22,Michigan,MI,9310462,9395022,9470323,9529240,9584481,9659871,9739184,9785450,9820231,9863775,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9883640,9877597,9883053,9898289,9914802,9932033,9934483,9954117,9976752,9987286,10070627,10038117,10033281,10037261
23,Minnesota,MN,4387283,4427429,4471503,4521709,4566028,4605445,4647723,4687726,4726411,4775508,4933692,4982796,5018935,5053572,5087713,5119598,5163555,5207203,5247018,5281203,5303925,5310934,5346620,5377500,5414722,5452665,5484002,5525360,5569283,5608762,5710578,5717968,5714300,5737915
24,Mississippi,MS,2577426,2591230,2610193,2635574,2663450,2690788,2709925,2731826,2751335,2768619,2848353,2852994,2858681,2868312,2889010,2905943,2904978,2928350,2947806,2958774,2967297,2970615,2979147,2984599,2989839,2991892,2990231,2990595,2990674,2982879,2958409,2949582,2938928,2939690
25,Missouri,MO,5126370,5157770,5193686,5237757,5281206,5324610,5367888,5407113,5437562,5468338,5607285,5641142,5674825,5709403,5747741,5790300,5842704,5887612,5923916,5961088,5988927,5996089,6011182,6026027,6042989,6059130,6075411,6091384,6111382,6125986,6154426,6170393,6177168,6196156
26,Montana,MT,799824,807837,822436,839876,854923,868522,876656,878706,879533,882779,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,989415,990730,997518,1004168,1014158,1022657,1031495,1042137,1053862,1061818,1087211,1106366,1122878,1132812
27,Nebraska,NE,1580664,1590805,1602406,1612149,1621551,1635142,1647657,1656042,1660772,1666028,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1826341,1829591,1840914,1853691,1865813,1879955,1892059,1906483,1916998,1925512,1963273,1964253,1968060,1978379
28,Nevada,NV,1218629,1285046,1330694,1380197,1456388,1525777,1596476,1675581,1743772,1809253,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2700551,2702483,2713114,2744670,2776956,2818935,2868531,2919555,2972097,3030725,3115840,3146632,3177421,3194176
29,New Hampshire,NH,1111831,1107055,1112766,1122191,1133054,1145604,1160768,1173239,1185823,1201134,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316470,1316807,1320444,1324677,1327272,1334257,1337480,1343694,1350395,1355064,1378702,1387494,1399003,1402054
30,New Jersey,NJ,7757158,7784269,7827770,7874891,7918796,7965523,8009624,8054178,8095542,8143412,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8791894,8799451,8828552,8845671,8857821,8867277,8870312,8873584,8888147,8891730,9272392,9269175,9260817,9290841
31,New Mexico,NM,1519933,1547115,1580750,1614937,1653329,1682417,1706151,1722939,1733535,1739844,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2059179,2064614,2080707,2087715,2092833,2090236,2090071,2092555,2092844,2093754,2118488,2116950,2113476,2114371
32,New York,NY,18002855,18029532,18082032,18140894,18156652,18150928,18143805,18143184,18159175,18196601,19001780,19082838,19137800,19175939,19171567,19132610,19104631,19132335,19212436,19307066,19378102,19399956,19499921,19574362,19626488,19653431,19657321,19636391,19593849,19544098,20104710,19854526,19673200,19571216
33,North Carolina,NC,6656987,6748135,6831850,6947412,7060959,7185403,7307658,7428672,7545828,7650789,8081614,8210122,8326201,8422501,8553152,8705407,8917270,9118037,9309449,9449566,9535483,9574586,9658913,9751810,9846717,9937295,10037218,10161802,10275758,10391358,10453812,10567100,10695965,10835491
34,North Dakota,ND,637364,634199,635427,637229,639762,641548,642858,640945,637808,633666,642023,639062,638168,638817,644705,646089,649422,652822,657569,664968,672591,674752,685526,702227,723149,738736,755537,756114,756755,760062,779563,777982,778912,783926
35,Ohio,OH,10861837,10933683,11007609,11070385,11111451,11155493,11187032,11212498,11237752,11256654,11363543,11387404,11407889,11434788,11452251,11463320,11481213,11500468,11515391,11528896,11536504,11539449,11545735,11550971,11579692,11606573,11622315,11640060,11665706,11680892,11798292,11765227,11759697,11785935
36,Oklahoma,OK,3147105,3166471,3204174,3228829,3246119,3265547,3289634,3314259,3339478,3358044,3454365,3467100,3489080,3504892,3525233,3548597,3594090,3634349,3668976,3717572,3751351,3760014,3788824,3819320,3853891,3879187,3910518,3928143,3933602,3943488,3965234,3991634,4019271,4053824
37,Oregon,OR,2858547,2918745,2973934,3034490,3087142,3141421,3195087,3243254,3282055,3316154,3429708,3467937,3513424,3547376,3569463,3613202,3670883,3722417,3768748,3808600,3831074,3837614,3872672,3900102,3924110,3965447,4018542,4093271,4147294,4183538,4245044,4256465,4239379,4233358
38,Pennsylvania,PA,11895604,11943160,11980819,12022128,12042545,12044780,12038008,12015888,12002329,11994016,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12702379,12711406,12747052,12769123,12779538,12792392,12789838,12788468,12794679,12809107,12995477,13013614,12972091,12961683
39,Rhode Island,RI,1004649,1003990,1000571,997852,993412,989203,987858,986966,987704,990819,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1052567,1053994,1053829,1054893,1055560,1056511,1056886,1057816,1056554,1059338,1096444,1097092,1093842,1095962
40,South Carolina,SC,3499064,3559470,3600576,3634507,3666456,3699943,3738974,3790066,3839578,3885736,4024223,4064995,4107795,4150297,4210921,4270150,4357847,4444110,4528996,4589872,4625364,4635846,4672655,4719027,4766469,4826858,4896006,4963031,5027102,5091702,5132151,5193848,5282955,5373555
41,South Dakota,SD,696667,701445,708698,716258,723038,728251,730699,730855,730789,733133,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,814180,816193,823740,833859,842751,849670,854663,863693,873732,879386,887852,896299,909869,919318
42,Tennessee,TN,4890626,4946886,5013999,5085666,5163016,5241168,5313576,5378433,5432679,5483535,5703719,5750789,5795918,5847812,5910809,5991057,6088766,6175727,6247411,6306019,6346105,6355518,6400298,6455752,6496943,6544617,6595354,6651277,6714748,6778180,6926091,6963709,7048976,7126489
43,Texas,TX,17044714,17339904,17650479,17996764,18338319,18679706,19006240,19355427,19712389,20044141,20944499,21319622,21690325,22030931,22394023,22778123,23359580,23831983,24309039,24801761,25145561,25241897,25645504,26084120,26479646,26963092,27468531,27914064,28291024,28624564,29234361,29561286,30029848,30503301
44,Utah,UT,1729722,1771941,1821498,1875993,1930436,1976774,2022253,2065397,2100562,2129836,2244502,2283715,2324815,2360137,2401580,2457719,2525507,2597746,2663029,2723421,2763885,2775413,2814797,2854146,2898773,2938327,2983626,3044241,3103540,3155153,3283982,3339284,3381236,3417734
45,Vermont,VT,564526,567141,570115,574004,578900,582827,586352,588665,590579,593740,609618,612223,615442,617858,619920,621215,622892,623481,624151,624817,625741,625886,627197,626361,626603,625693,625810,624366,625132,624802,642936,647093,647110,647464
46,Virginia,VA,6213526,6283853,6383315,6464795,6536771,6601392,6665491,6732878,6789225,6872912,7105817,7198362,7286873,7366977,7475575,7577105,7673725,7751000,7833496,7925937,8001024,8024004,8102437,8187456,8255861,8315430,8367303,8417651,8471011,8510920,8637193,8657348,8679099,8715698
47,Washington,WA,4900780,5013443,5139011,5247704,5334896,5431024,5509963,5604105,5687832,5756361,5910512,5985722,6052349,6104115,6178645,6257305,6370753,6461587,6562231,6667426,6724540,6743009,6827479,6898599,6966252,7057531,7167287,7299961,7427951,7526793,7724566,7741433,7784477,7812880
48,West Virginia,WV,1792481,1798212,1805462,1816179,1818490,1820560,1818983,1815588,1811688,1806928,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1852994,1854265,1856606,1857446,1854768,1850569,1843332,1832435,1818683,1805953,1791562,1785249,1774035,1770071
49,Wisconsin,WI,4902265,4952675,5004636,5055318,5095504,5137004,5173828,5200235,5222124,5250446,5373999,5406835,5445162,5479203,5514026,5546166,5577655,5610775,5640996,5669264,5686986,5690538,5705840,5720825,5738012,5753199,5762927,5775170,5793147,5809319,5896700,5879978,5890543,5910955
50,Wyoming,WY,453401,457739,463491,469033,474982,478447,480085,480031,480045,479602,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,563626,564531,567491,576656,582620,583159,586389,585243,579994,579054,577664,579548,581629,584057
51,United States,USA,249464396,252153092,255029699,257782608,260327021,262803276,265228572,267783607,270248003,272690813,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,308745538,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,331526933,332048977,333271411,334914895
