"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00378911998,00378,9119,98,2023,4,false,"FENTANYL  ",107.000,14.000000000,1221.99,1221.99,0.00
FFSU,AK,00378912198,00378,9121,98,2023,4,false,"FENTANYL  ",117.000,14.000000000,687.62,687.62,0.00
FFSU,AK,00406911276,00406,9112,76,2023,4,false,"FENTANYL  ",107.000,13.000000000,1144.88,1144.88,0.00
FFSU,AK,00409909412,00409,9094,12,2023,4,false,"FENTANYL C",33.650,26.000000000,17923.13,17923.13,0.00
FFSU,AK,00409909422,00409,9094,22,2023,4,false,"FENTANYL C",902.750,329.000000000,5419.25,5396.86,22.39
FFSU,AK,00409909425,00409,9094,25,2023,4,false,"FENTANYL C",33.000,17.000000000,925.60,925.60,0.00
FFSU,AK,00641602701,00641,6027,01,2023,4,false,"FENTANYL C",97.600,69.000000000,631.25,631.25,0.00
FFSU,AK,00641602725,00641,6027,25,2023,4,false,"FENTANYL C",27.500,14.000000000,1916.26,1916.26,0.00
FFSU,AK,00641603001,00641,6030,01,2023,4,false,"FENTANYL C",15.000,12.000000000,80.40,80.40,0.00
FFSU,AK,47781042447,47781,0424,47,2023,4,false,"FENTANYL  ",241.000,26.000000000,1524.12,1524.12,0.00
FFSU,AK,72572017001,72572,0170,01,2023,4,false,"FENTANYL C",53.000,33.000000000,1088.26,1088.26,0.00
FFSU,AK,00378912198,00378,9121,98,2023,3,false,"FENTANYL  ",191.000,21.000000000,1199.40,1199.40,0.00
FFSU,AK,00378912298,00378,9122,98,2023,3,false,"FENTANYL  ",139.000,18.000000000,1451.96,1350.76,101.20
FFSU,AK,00406911276,00406,9112,76,2023,3,false,"FENTANYL  ",110.000,14.000000000,1074.78,1074.78,0.00
FFSU,AK,00409909412,00409,9094,12,2023,3,false,"FENTANYL C",79.250,41.000000000,4798.08,4791.03,7.05
FFSU,AK,00409909422,00409,9094,22,2023,3,false,"FENTANYL C",645.000,246.000000000,0.01,0.01,0.00
FFSU,AK,00641602701,00641,6027,01,2023,3,false,"FENTANYL C",78.280,60.000000000,463.74,463.74,0.00
FFSU,AK,00641602725,00641,6027,25,2023,3,false,"FENTANYL C",166.000,52.000000000,2456.15,2305.17,150.98
FFSU,AK,00641603001,00641,6030,01,2023,3,false,"FENTANYL C",32.000,21.000000000,140.70,140.70,0.00
FFSU,AK,47781042447,47781,0424,47,2023,3,false,"FENTANYL  ",218.000,23.000000000,1312.43,1299.24,13.19
FFSU,AK,72572017001,72572,0170,01,2023,3,false,"FENTANYL C",66.500,34.000000000,1248.12,1248.12,0.00
FFSU,AK,00378911998,00378,9119,98,2023,2,false,"FENTANYL  ",87.000,11.000000000,845.99,830.43,15.56
FFSU,AK,00378912198,00378,9121,98,2023,2,false,"FENTANYL  ",383.000,43.000000000,2217.51,2183.40,34.11
FFSU,AK,00378912298,00378,9122,98,2023,2,false,"FENTANYL  ",98.000,11.000000000,940.79,940.79,0.00
FFSU,AK,00406911276,00406,9112,76,2023,2,false,"FENTANYL  ",116.000,15.000000000,1113.56,1113.56,0.00
FFSU,AK,00409909412,00409,9094,12,2023,2,false,"FENTANYL C",141.976,66.000000000,2564.70,2564.70,0.00
FFSU,AK,00409909422,00409,9094,22,2023,2,false,"FENTANYL C",741.000,270.000000000,5896.06,5761.95,134.11
FFSU,AK,00641602701,00641,6027,01,2023,2,false,"FENTANYL C",60.250,50.000000000,1998.61,1980.51,18.10
FFSU,AK,00641602725,00641,6027,25,2023,2,false,"FENTANYL C",258.300,105.000000000,2619.38,2618.08,1.30
FFSU,AK,00641603001,00641,6030,01,2023,2,false,"FENTANYL C",23.000,17.000000000,113.90,113.90,0.00
FFSU,AK,47781042447,47781,0424,47,2023,2,false,"FENTANYL  ",154.000,17.000000000,942.36,942.36,0.00
FFSU,AK,72572017001,72572,0170,01,2023,2,false,"FENTANYL C",43.000,24.000000000,921.66,921.66,0.00
