"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00002163701,00002,1637,01,1991,2,false,"MORPHINE S",420.000,11.000000000,294.97,0.00,0.00
FFSU,AK,00002163701,00002,1637,01,1991,1,false,"MORPHINE S",480.000,14.000000000,365.89,0.00,0.00
FFSU,AL,00002163701,00002,1637,01,1991,4,false,"MORPHINE S",1360.000,23.000000000,894.95,0.00,0.00
FFSU,AL,00002255002,00002,2550,02,1991,4,false,"MORPHINE S",1598.000,20.000000000,365.01,0.00,0.00
FFSU,AL,00002255102,00002,2551,02,1991,4,false,"MORPHINE S",1018.000,18.000000000,477.57,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1991,4,false,"MORPHINE 1",24330.000,69.000000000,1417.82,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1991,4,false,"MORPHINE 2",11950.000,26.000000000,921.23,0.00,0.00
FFSU,AL,00641018025,00641,0180,25,1991,4,false,"MORPHINE S",235.000,12.000000000,189.91,0.00,0.00
FFSU,AL,00002163701,00002,1637,01,1991,3,false,"MORPHINE S",500.000,19.000000000,401.65,0.00,0.00
FFSU,AL,00002255002,00002,2550,02,1991,3,false,"MORPHINE S",2247.000,26.000000000,505.02,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1991,3,false,"MORPHINE 1",20901.000,43.000000000,1117.92,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1991,3,false,"MORPHINE 2",9596.000,22.000000000,666.43,0.00,0.00
FFSU,AL,00002255002,00002,2550,02,1991,2,false,"MORPHINE S",1655.000,21.000000000,391.73,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1991,2,false,"MORPHINE 1",13890.000,30.000000000,745.78,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1991,2,false,"MORPHINE 2",5530.000,12.000000000,367.86,0.00,0.00
FFSU,AL,00002163701,00002,1637,01,1991,1,false,"MORPHINE S",1800.000,24.000000000,1218.40,0.00,0.00
FFSU,AL,00002255002,00002,2550,02,1991,1,false,"MORPHINE S",1358.000,16.000000000,347.17,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1991,4,false,"MORPHINE 1",11404.000,22.000000000,584.65,0.00,0.00
FFSU,AR,00641018025,00641,0180,25,1991,4,false,"MORPHINE S",11.000,12.000000000,55.85,0.00,0.00
FFSU,AR,00641234541,00641,2345,41,1991,4,false,"MORPHINE S",1420.000,22.000000000,919.72,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1991,3,false,"MORPHINE 1",12620.000,22.000000000,662.87,0.00,0.00
FFSU,AR,00002163701,00002,1637,01,1991,2,false,"MORPHINE S",420.000,13.000000000,342.33,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1991,2,false,"MORPHINE 1",6080.000,11.000000000,260.44,0.00,0.00
FFSU,AR,00641018025,00641,0180,25,1991,2,false,"MORPHINE S",108.000,17.000000000,130.75,0.00,0.00
FFSU,AR,00641234541,00641,2345,41,1991,2,false,"MORPHINE S",5861.000,22.000000000,3441.88,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1991,1,false,"MORPHINE 1",6480.000,16.000000000,341.91,0.00,0.00
FFSU,AR,00641018025,00641,0180,25,1991,1,false,"MORPHINE S",65.000,17.000000000,103.83,0.00,0.00
FFSU,CA,00002163701,00002,1637,01,1991,4,false,"MORPHINE 1",13.076,146.000000000,9045.84,0.00,0.00
FFSU,CA,00002254902,00002,2549,02,1991,4,false,"MORPHINE S",6.667,50.000000000,1446.19,0.00,0.00
FFSU,CA,00002255002,00002,2550,02,1991,4,false,"MORPHINE S",2.491,23.000000000,698.49,0.00,0.00
FFSU,CA,00002255102,00002,2551,02,1991,4,false,"MORPHINE S",22.848,159.000000000,9765.49,0.00,0.00
FFSU,CA,00008065601,00008,0656,01,1991,4,false,"MORPHINE 1",0.461,19.000000000,377.29,0.00,0.00
FFSU,CA,00008065701,00008,0657,01,1991,4,false,"MORPHINE 1",2.040,15.000000000,1488.75,0.00,0.00
FFSU,CA,00024126102,00024,1261,02,1991,4,false,"MORPHINE 1",0.825,25.000000000,692.48,0.00,0.00
FFSU,CA,00054378563,00054,3785,63,1991,4,false,"MORPHINE S",190096.000,362.000000000,10629.47,0.00,0.00
FFSU,CA,00054378663,00054,3786,63,1991,4,false,"MORPHINE S",45.173,89.000000000,3992.44,0.00,0.00
FFSU,CA,00054458225,00054,4582,25,1991,4,false,"MORPHINE S",1.835,17.000000000,314.65,0.00,0.00
FFSU,CA,00054458325,00054,4583,25,1991,4,false,"MORPHINE S",11.375,71.000000000,2924.75,0.00,0.00
FFSU,CA,00641017026,00641,0170,26,1991,4,false,"MORPHINE 8",0.349,16.000000000,254.74,0.00,0.00
FFSU,CA,00641018025,00641,0180,25,1991,4,false,"MORPHINE 1",2.480,76.000000000,1568.29,0.00,0.00
FFSU,CA,00641019025,00641,0190,25,1991,4,false,"MORPHINE 1",0.363,55.000000000,437.34,0.00,0.00
FFSU,CA,00641234541,00641,2345,41,1991,4,false,"MORPHINE 1",17.712,134.000000000,9906.91,0.00,0.00
FFSU,CA,00002163701,00002,1637,01,1991,3,false,"MORPHINE 1",22770.000,193.000000000,16070.72,0.00,0.00
FFSU,CA,00002254902,00002,2549,02,1991,3,false,"MORPHINE S",7352.000,49.000000000,1599.89,0.00,0.00
FFSU,CA,00002255002,00002,2550,02,1991,3,false,"MORPHINE S",3922.000,39.000000000,1085.23,0.00,0.00
FFSU,CA,00002255102,00002,2551,02,1991,3,false,"MORPHINE S",17869.000,134.000000000,7654.73,0.00,0.00
FFSU,CA,00008065601,00008,0656,01,1991,3,false,"MORPHINE 1",301.000,27.000000000,299.43,0.00,0.00
FFSU,CA,00008065701,00008,0657,01,1991,3,false,"MORPHINE 1",2290.000,20.000000000,1684.00,0.00,0.00
FFSU,CA,00024126102,00024,1261,02,1991,3,false,"MORPHINE 1",1526.000,31.000000000,1257.80,0.00,0.00
FFSU,CA,00024126202,00024,1262,02,1991,3,false,"MORPHINE 1",969.000,11.000000000,212.06,0.00,0.00
FFSU,CA,00044261131,00044,2611,31,1991,3,false,"MORPHINE 1",28.000,15.000000000,69.45,0.00,0.00
FFSU,CA,00054378563,00054,3785,63,1991,3,false,"MORPHINE S",229100.000,418.000000000,12348.24,0.00,0.00
FFSU,CA,00054378663,00054,3786,63,1991,3,false,"MORPHINE S",51973.000,115.000000000,4582.45,0.00,0.00
FFSU,CA,00054458225,00054,4582,25,1991,3,false,"MORPHINE S",1808.000,20.000000000,312.24,0.00,0.00
FFSU,CA,00054458325,00054,4583,25,1991,3,false,"MORPHINE S",10932.000,69.000000000,2663.66,0.00,0.00
FFSU,CA,00641017026,00641,0170,26,1991,3,false,"MORPHINE 8",236.000,19.000000000,177.79,0.00,0.00
FFSU,CA,00641018025,00641,0180,25,1991,3,false,"MORPHINE 1",1395.000,55.000000000,995.54,0.00,0.00
FFSU,CA,00641019025,00641,0190,25,1991,3,false,"MORPHINE 1",987.000,65.000000000,806.37,0.00,0.00
FFSU,CA,00641234541,00641,2345,41,1991,3,false,"MORPHINE 1",36120.000,192.000000000,20374.43,0.00,0.00
FFSU,CA,00002163701,00002,1637,01,1991,2,false,"MORPHINE 1",12884.000,145.000000000,8949.14,0.00,0.00
FFSU,CA,00002254902,00002,2549,02,1991,2,false,"MORPHINE S",4733.000,42.000000000,1033.75,0.00,0.00
FFSU,CA,00002255002,00002,2550,02,1991,2,false,"MORPHINE S",2973.000,34.000000000,840.48,0.00,0.00
FFSU,CA,00002255102,00002,2551,02,1991,2,false,"MORPHINE S",19286.000,113.000000000,7832.68,0.00,0.00
FFSU,CA,00054378563,00054,3785,63,1991,2,false,"MORPHINE S",136485.000,266.000000000,7206.79,0.00,0.00
FFSU,CA,00054378663,00054,3786,63,1991,2,false,"MORPHINE S",32505.000,70.000000000,2770.73,0.00,0.00
FFSU,CA,00054458325,00054,4583,25,1991,2,false,"MORPHINE S",5771.000,31.000000000,1336.14,0.00,0.00
FFSU,CA,00641017026,00641,0170,26,1991,2,false,"MORPHINE 8",366.000,12.000000000,241.79,0.00,0.00
FFSU,CA,00641018025,00641,0180,25,1991,2,false,"MORPHINE 1",2987.000,88.000000000,1970.80,0.00,0.00
FFSU,CA,00641019025,00641,0190,25,1991,2,false,"MORPHINE 1",534.000,32.000000000,420.06,0.00,0.00
FFSU,CA,00641234541,00641,2345,41,1991,2,false,"MORPHINE 1",20098.000,104.000000000,11471.93,0.00,0.00
FFSU,CA,00002163701,00002,1637,01,1991,1,false,"MORPHINE 1",9496.000,101.000000000,5805.20,0.00,0.00
FFSU,CA,00002254902,00002,2549,02,1991,1,false,"MORPHINE S",8919.000,92.000000000,1827.16,0.00,0.00
FFSU,CA,00002255002,00002,2550,02,1991,1,false,"MORPHINE S",2492.000,27.000000000,665.20,0.00,0.00
FFSU,CA,00002255102,00002,2551,02,1991,1,false,"MORPHINE S",10643.000,87.000000000,3600.26,0.00,0.00
FFSU,CA,00054378563,00054,3785,63,1991,1,false,"MORPHINE S",111970.000,227.000000000,5982.02,0.00,0.00
FFSU,CA,00054378663,00054,3786,63,1991,1,false,"MORPHINE S",36177.000,59.000000000,2996.77,0.00,0.00
