"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AL,00002254902,00002,2549,02,1995,4,false,"MORPHINE S",749.000,12.000000000,214.74,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1995,4,false,"MORPHINE 1",31540.000,76.000000000,2232.63,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1995,4,false,"MORPHINE 2",6852.000,19.000000000,766.72,0.00,0.00
FFSU,AL,00406152155,00406,1521,55,1995,4,false,"MORPHINE S",2890.000,13.000000000,37869.97,0.00,0.00
FFSU,AL,00641234541,00641,2345,41,1995,4,false,"MORPHINE S",4281.000,16.000000000,2681.35,0.00,0.00
FFSU,AL,00002254902,00002,2549,02,1995,3,false,"MORPHINE S",500.000,12.000000000,163.79,0.00,0.00
FFSU,AL,00002255102,00002,2551,02,1995,3,false,"MORPHINE S",1000.000,13.000000000,509.84,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1995,3,false,"MORPHINE 1",39340.000,96.000000000,2819.75,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1995,3,false,"MORPHINE 2",17458.000,34.000000000,1872.11,0.00,0.00
FFSU,AL,00641234541,00641,2345,41,1995,3,false,"MORPHINE S",8100.000,22.000000000,5027.26,0.00,0.00
FFSU,AL,00008065601,00008,0656,01,1995,2,false,"MORPHINE 1",92.000,11.000000000,121.25,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1995,2,false,"MORPHINE 1",24473.000,64.000000000,1668.36,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1995,2,false,"MORPHINE 2",7250.000,25.000000000,803.04,0.00,0.00
FFSU,AL,00641234541,00641,2345,41,1995,2,false,"MORPHINE S",8660.000,34.000000000,5350.62,0.00,0.00
FFSU,AL,00002255002,00002,2550,02,1995,1,false,"MORPHINE S",652.000,13.000000000,237.50,0.00,0.00
FFSU,AL,00054378563,00054,3785,63,1995,1,false,"MORPHINE 1",32895.000,76.000000000,2178.92,0.00,0.00
FFSU,AL,00054378663,00054,3786,63,1995,1,false,"MORPHINE 2",23758.000,40.000000000,2361.69,0.00,0.00
FFSU,AL,00641018025,00641,0180,25,1995,1,false,"MORPHINE S",328.000,21.000000000,307.80,0.00,0.00
FFSU,AL,00641234541,00641,2345,41,1995,1,false,"MORPHINE S",760.000,14.000000000,519.52,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1995,4,false,"MORPHINE 1",4785.000,17.000000000,350.03,0.00,0.00
FFSU,AR,00186113913,00186,1139,13,1995,4,false,"MORPHINE S",45.000,29.000000000,157.60,0.00,0.00
FFSU,AR,00641234641,00641,2346,41,1995,4,false,"MORPHINE S",265.000,78.000000000,352.02,0.00,0.00
FFSU,AR,00008065301,00008,0653,01,1995,3,false,"MORPHINE 4",510.000,11.000000000,428.66,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1995,3,false,"MORPHINE 1",8460.000,16.000000000,548.79,0.00,0.00
FFSU,AR,00186113913,00186,1139,13,1995,3,false,"MORPHINE S",20.000,20.000000000,103.00,0.00,0.00
FFSU,AR,00641234641,00641,2346,41,1995,3,false,"MORPHINE S",184.000,124.000000000,555.08,0.00,0.00
FFSU,AR,00008065601,00008,0656,01,1995,2,false,"MORPHINE 1",88.000,11.000000000,118.56,0.00,0.00
FFSU,AR,00054378563,00054,3785,63,1995,2,false,"MORPHINE 1",7555.000,15.000000000,493.42,0.00,0.00
FFSU,AR,00054378663,00054,3786,63,1995,2,false,"MORPHINE 2",11380.000,16.000000000,1173.74,0.00,0.00
FFSU,AR,00186113913,00186,1139,13,1995,2,false,"MORPHINE S",14.000,14.000000000,70.48,0.00,0.00
FFSU,AR,00548602600,00548,6026,00,1995,2,false,"MORPHINE S",633.000,62.000000000,1164.84,0.00,0.00
FFSU,AR,00641234641,00641,2346,41,1995,2,false,"MORPHINE S",116.000,36.000000000,172.56,0.00,0.00
