"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00378911998,00378,9119,98,2016,4,false,"FENTANYL  ",122.000,14.000000000,1623.89,1623.89,0.00
FFSU,AK,00406900076,00406,9000,76,2016,4,false,"FENTANYL  ",385.000,40.000000000,4226.49,4226.49,0.00
FFSU,AK,00406901276,00406,9012,76,2016,4,false,"FENTANYL  ",175.000,19.000000000,2332.26,2332.26,0.00
FFSU,AK,00406902576,00406,9025,76,2016,4,false,"FENTANYL  ",573.000,61.000000000,2689.32,2624.63,64.69
FFSU,AK,00406905076,00406,9050,76,2016,4,false,"FENTANYL  ",550.000,56.000000000,3662.48,3651.32,11.16
FFSU,AK,00406907576,00406,9075,76,2016,4,false,"FENTANYL  ",560.000,48.000000000,5131.70,5131.70,0.00
FFSU,AK,00409909332,00409,9093,32,2016,4,false,"FENTANYL C",90.570,47.000000000,1271.51,1178.19,93.32
FFSU,AK,00409909335,00409,9093,35,2016,4,false,"FENTANYL C",104.800,40.000000000,1119.61,1041.94,77.67
FFSU,AK,00409909422,00409,9094,22,2016,4,false,"FENTANYL C",851.400,318.000000000,5313.81,5094.33,219.48
FFSU,AK,00409909425,00409,9094,25,2016,4,false,"FENTANYL C",910.672,206.000000000,6512.77,6415.32,97.45
FFSU,AK,00591319872,00591,3198,72,2016,4,false,"FENTANYL  ",485.000,54.000000000,2349.82,2349.82,0.00
FFSU,AK,00591321272,00591,3212,72,2016,4,false,"FENTANYL  ",368.000,42.000000000,2493.94,2493.94,0.00
FFSU,AK,00591321372,00591,3213,72,2016,4,false,"FENTANYL  ",315.000,26.000000000,2882.78,2882.78,0.00
FFSU,AK,00591321472,00591,3214,72,2016,4,false,"FENTANYL  ",231.000,21.000000000,2540.56,2540.56,0.00
FFSU,AK,00641602701,00641,6027,01,2016,4,false,"FENTANYL C",75.400,43.000000000,1198.23,1177.37,20.86
FFSU,AK,00641602725,00641,6027,25,2016,4,false,"FENTANYL C",195.010,83.000000000,1496.37,1386.27,110.10
FFSU,AK,00781724055,00781,7240,55,2016,4,false,"FENTANYL  ",141.000,15.000000000,1914.91,1914.91,0.00
FFSU,AK,00781724255,00781,7242,55,2016,4,false,"FENTANYL  ",111.000,11.000000000,781.59,781.59,0.00
FFSU,AK,17478003002,17478,0030,02,2016,4,false,"FENTANYL C",60.000,26.000000000,587.98,484.06,103.92
FFSU,AK,60505700602,60505,7006,02,2016,4,false,"FENTANYL  ",301.000,32.000000000,1506.04,1506.04,0.00
FFSU,AK,60505700702,60505,7007,02,2016,4,false,"FENTANYL  ",100.000,12.000000000,704.72,704.72,0.00
FFSU,AK,60505700902,60505,7009,02,2016,4,false,"FENTANYL  ",105.000,11.000000000,1135.93,1135.93,0.00
FFSU,AK,00378911998,00378,9119,98,2016,3,false,"FENTANYL  ",159.000,22.000000000,2348.56,2348.56,0.00
FFSU,AK,00406900076,00406,9000,76,2016,3,false,"FENTANYL  ",469.000,51.000000000,5239.04,5239.04,0.00
FFSU,AK,00406901276,00406,9012,76,2016,3,false,"FENTANYL  ",185.000,22.000000000,2633.13,2633.13,0.00
FFSU,AK,00406902576,00406,9025,76,2016,3,false,"FENTANYL  ",549.000,55.000000000,2514.26,2484.65,29.61
FFSU,AK,00406905076,00406,9050,76,2016,3,false,"FENTANYL  ",561.000,59.000000000,3752.65,3752.65,0.00
FFSU,AK,00406907576,00406,9075,76,2016,3,false,"FENTANYL  ",604.000,55.000000000,5744.57,5744.57,0.00
FFSU,AK,00409127632,00409,1276,32,2016,3,false,"FENTANYL C",34.000,15.000000000,7290.00,7290.00,0.00
FFSU,AK,00409909332,00409,9093,32,2016,3,false,"FENTANYL C",28.850,16.000000000,1188.90,1175.02,13.88
FFSU,AK,00409909422,00409,9094,22,2016,3,false,"FENTANYL C",16553.500,676.000000000,73881.90,73071.87,810.03
FFSU,AK,00409909425,00409,9094,25,2016,3,false,"FENTANYL C",962.602,215.000000000,10046.39,9967.17,79.22
FFSU,AK,00591319872,00591,3198,72,2016,3,false,"FENTANYL  ",757.000,84.000000000,3687.86,3658.25,29.61
FFSU,AK,00591321272,00591,3212,72,2016,3,false,"FENTANYL  ",435.000,45.000000000,3006.26,3006.26,0.00
FFSU,AK,00591321372,00591,3213,72,2016,3,false,"FENTANYL  ",616.000,44.000000000,5764.28,5764.28,0.00
FFSU,AK,00591321472,00591,3214,72,2016,3,false,"FENTANYL  ",283.000,31.000000000,3195.65,3195.65,0.00
FFSU,AK,00641602701,00641,6027,01,2016,3,false,"FENTANYL C",38.250,22.000000000,1705.53,1608.86,96.67
FFSU,AK,00641602725,00641,6027,25,2016,3,false,"FENTANYL C",127.060,46.000000000,2291.66,1974.39,317.27
FFSU,AK,00781724055,00781,7240,55,2016,3,false,"FENTANYL  ",260.000,31.000000000,3822.24,3822.24,0.00
FFSU,AK,00781724255,00781,7242,55,2016,3,false,"FENTANYL  ",77.000,12.000000000,593.26,593.26,0.00
FFSU,AK,17478003002,17478,0030,02,2016,3,false,"FENTANYL C",132.000,50.000000000,1486.15,1324.82,161.33
FFSU,AK,60505700602,60505,7006,02,2016,3,false,"FENTANYL  ",439.000,46.000000000,2197.30,2197.30,0.00
FFSU,AK,60505700802,60505,7008,02,2016,3,false,"FENTANYL  ",207.000,16.000000000,1969.97,1969.97,0.00
FFSU,AK,00378911998,00378,9119,98,2016,2,false,"FENTANYL  ",108.000,15.000000000,1690.52,1690.52,0.00
FFSU,AK,00406900076,00406,9000,76,2016,2,false,"FENTANYL  ",364.000,32.000000000,4200.93,4200.93,0.00
FFSU,AK,00406901276,00406,9012,76,2016,2,false,"FENTANYL  ",177.000,19.000000000,2635.10,2635.10,0.00
FFSU,AK,00406902576,00406,9025,76,2016,2,false,"FENTANYL  ",396.000,41.000000000,1911.61,1911.61,0.00
FFSU,AK,00406905076,00406,9050,76,2016,2,false,"FENTANYL  ",449.000,53.000000000,3180.37,3180.37,0.00
FFSU,AK,00406907576,00406,9075,76,2016,2,false,"FENTANYL  ",552.000,51.000000000,5599.11,5599.11,0.00
FFSU,AK,00409909332,00409,9093,32,2016,2,false,"FENTANYL C",24.500,13.000000000,418.62,335.98,82.64
FFSU,AK,00409909422,00409,9094,22,2016,2,false,"FENTANYL C",19784.250,672.000000000,53093.94,52174.34,919.60
FFSU,AK,00409909425,00409,9094,25,2016,2,false,"FENTANYL C",887.998,180.000000000,4132.87,4107.55,25.32
FFSU,AK,00591319872,00591,3198,72,2016,2,false,"FENTANYL  ",487.000,53.000000000,2390.44,2361.20,29.24
FFSU,AK,00591321272,00591,3212,72,2016,2,false,"FENTANYL  ",269.000,29.000000000,1919.46,1919.46,0.00
FFSU,AK,00591321372,00591,3213,72,2016,2,false,"FENTANYL  ",353.000,29.000000000,3609.32,3609.32,0.00
FFSU,AK,00591321472,00591,3214,72,2016,2,false,"FENTANYL  ",252.000,23.000000000,2911.63,2911.63,0.00
FFSU,AK,00641602510,00641,6025,10,2016,2,false,"FENTANYL C",6835.000,32.000000000,356.80,356.80,0.00
FFSU,AK,00641602725,00641,6027,25,2016,2,false,"FENTANYL C",151.900,69.000000000,1664.52,1641.23,23.29
FFSU,AK,00641602825,00641,6028,25,2016,2,false,"FENTANYL C",21.000,15.000000000,7.95,4.52,3.43
FFSU,AK,00781724055,00781,7240,55,2016,2,false,"FENTANYL  ",172.000,21.000000000,2663.85,2663.85,0.00
