"Utilization Type",State,NDC,"Labeler Code","Product Code","Package Size",Year,Quarter,"Suppression Used","Product Name","Units Reimbursed","Number of Prescriptions","Total Amount Reimbursed","Medicaid Amount Reimbursed","Non-medicaid Amount Reimbursed"
FFSU,AK,00054023525,00054,0235,25,2016,4,false,"MORPHINE S",11905.000,150.000000000,3769.01,3769.01,0.00
FFSU,AK,00054023625,00054,0236,25,2016,4,false,"MORPHINE S",7063.000,72.000000000,2442.87,2442.87,0.00
FFSU,AK,00406831501,00406,8315,01,2016,4,false,"MORPHINE S",6420.000,105.000000000,3546.38,3546.38,0.00
FFSU,AK,00406833001,00406,8330,01,2016,4,false,"MORPHINE S",9624.000,144.000000000,7405.80,7405.80,0.00
FFSU,AK,00406838001,00406,8380,01,2016,4,false,"MORPHINE S",4312.000,66.000000000,5663.19,5651.19,12.00
FFSU,AK,00406839001,00406,8390,01,2016,4,false,"MORPHINE S",2610.000,34.000000000,5091.88,5091.88,0.00
FFSU,AK,00409125830,00409,1258,30,2016,4,false,"MORPHINE S",36.000,29.000000000,5672.59,5672.59,0.00
FFSU,AK,00409126130,00409,1261,30,2016,4,false,"MORPHINE S",26.500,27.000000000,6949.11,6947.97,1.14
FFSU,AK,00409176230,00409,1762,30,2016,4,false,"MORPHINE S",100.198,58.000000000,24527.78,24342.15,185.63
FFSU,AK,00409189001,00409,1890,01,2016,4,false,"MORPHINE S",161.000,109.000000000,0.01,0.01,0.00
FFSU,AK,00409189101,00409,1891,01,2016,4,false,"MORPHINE S",320.793,258.000000000,56877.79,56747.19,130.60
FFSU,AK,00409189301,00409,1893,01,2016,4,false,"MORPHINE S",62.600,64.000000000,2601.92,2567.68,34.24
FFSU,AK,00641612501,00641,6125,01,2016,4,false,"MORPHINE S",17.500,15.000000000,41.56,41.56,0.00
FFSU,AK,00641612525,00641,6125,25,2016,4,false,"MORPHINE S",14.750,15.000000000,65.61,65.61,0.00
FFSU,AK,42858080101,42858,0801,01,2016,4,false,"MORPHINE S",9824.000,145.000000000,4820.21,4820.21,0.00
FFSU,AK,42858080201,42858,0802,01,2016,4,false,"MORPHINE S",10826.000,164.000000000,7940.95,7849.17,91.78
FFSU,AK,42858080301,42858,0803,01,2016,4,false,"MORPHINE S",4577.000,61.000000000,5895.36,5895.36,0.00
FFSU,AK,42858080401,42858,0804,01,2016,4,false,"MORPHINE S",960.000,12.000000000,1850.10,1850.10,0.00
FFSU,AK,60951065270,60951,0652,70,2016,4,false,"MORPHINE S",1080.000,11.000000000,469.49,469.49,0.00
FFSU,AK,63304045001,63304,0450,01,2016,4,false,"MORPHINE S",6807.000,103.000000000,3667.32,3667.32,0.00
FFSU,AK,63304045101,63304,0451,01,2016,4,false,"MORPHINE S",1018.000,14.000000000,772.00,772.00,0.00
FFSU,AK,63304075801,63304,0758,01,2016,4,false,"MORPHINE S",2748.000,37.000000000,3769.16,3769.16,0.00
FFSU,AK,68382090301,68382,0903,01,2016,4,false,"MORPHINE S",5499.000,90.000000000,2894.55,2856.22,38.33
FFSU,AK,68382090401,68382,0904,01,2016,4,false,"MORPHINE S",4910.000,78.000000000,3675.39,3675.39,0.00
FFSU,AK,68382090501,68382,0905,01,2016,4,false,"MORPHINE S",1948.000,29.000000000,2572.55,2572.55,0.00
FFSU,AK,00054023525,00054,0235,25,2016,3,false,"MORPHINE S",14555.000,184.000000000,4444.49,4444.49,0.00
FFSU,AK,00054023625,00054,0236,25,2016,3,false,"MORPHINE S",7398.000,81.000000000,2631.36,2631.36,0.00
FFSU,AK,00054040444,00054,0404,44,2016,3,false,"MORPHINE S",970.000,11.000000000,536.83,536.83,0.00
FFSU,AK,00228427111,00228,4271,11,2016,3,false,"MORPHINE S",1876.000,27.000000000,1469.51,1469.51,0.00
FFSU,AK,00406831501,00406,8315,01,2016,3,false,"MORPHINE S",6890.000,103.000000000,3964.54,3964.54,0.00
FFSU,AK,00406831562,00406,8315,62,2016,3,false,"MORPHINE S",580.000,15.000000000,388.18,388.18,0.00
FFSU,AK,00406833001,00406,8330,01,2016,3,false,"MORPHINE S",12764.000,189.000000000,10258.42,10185.34,73.08
